
 eiger (gplogin1.local) : TURBOMOLE V7.2 ( 21285 ) 30 Jun 2017 at 11:51:10
 Copyright (C) 2017 TURBOMOLE GmbH, Karlsruhe


    2018-01-22 10:40:02.054 

                                                                                
  
 HOMO-LUMO Separation
   HOMO:   420.   420 a     -0.18505027 H =     -5.03548 eV
   LUMO:   421.   421 a     -0.14010114 H =     -3.81235 eV
   Gap :                    +0.04494914 H =     +1.22313 eV
 
Number of MOs=   3970, Electrons=    840.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 3970.  3970 a                    +15.408611 H =      +419.290 eV
 3969.  3969 a                    +15.404498 H =      +419.178 eV
 3968.  3968 a                    +15.375780 H =      +418.396 eV
 3967.  3967 a                    +15.369786 H =      +418.233 eV
 3966.  3966 a                    +15.365354 H =      +418.113 eV
 3965.  3965 a                    +15.057614 H =      +409.739 eV
 3964.  3964 a                    +15.051285 H =      +409.567 eV
 3963.  3963 a                    +14.990835 H =      +407.922 eV
 3962.  3962 a                    +14.968765 H =      +407.321 eV
 3961.  3961 a                    +14.893535 H =      +405.274 eV
 3960.  3960 a                    +14.779523 H =      +402.172 eV
 3959.  3959 a                    +14.736818 H =      +401.009 eV
 3958.  3958 a                    +14.631087 H =      +398.132 eV
 3957.  3957 a                    +14.544244 H =      +395.769 eV
 3956.  3956 a                    +14.537243 H =      +395.579 eV
 3955.  3955 a                    +14.514731 H =      +394.966 eV
 3954.  3954 a                    +14.471007 H =      +393.776 eV
 3953.  3953 a                    +14.455922 H =      +393.366 eV
 3952.  3952 a                    +14.444932 H =      +393.067 eV
 3951.  3951 a                    +14.414294 H =      +392.233 eV
 3950.  3950 a                    +14.221801 H =      +386.995 eV
 3949.  3949 a                    +14.209238 H =      +386.653 eV
 3948.  3948 a                    +14.207671 H =      +386.611 eV
 3947.  3947 a                    +14.198508 H =      +386.361 eV
 3946.  3946 a                    +14.188266 H =      +386.083 eV
 3945.  3945 a                    +14.102543 H =      +383.750 eV
 3944.  3944 a                    +13.603257 H =      +370.164 eV
 3943.  3943 a                    +13.592184 H =      +369.862 eV
 3942.  3942 a                    +13.579360 H =      +369.513 eV
 3941.  3941 a                    +13.491677 H =      +367.127 eV
 3940.  3940 a                    +13.437121 H =      +365.643 eV
 3939.  3939 a                    +13.075963 H =      +355.815 eV
 3938.  3938 a                    +13.042824 H =      +354.913 eV
 3937.  3937 a                    +13.022623 H =      +354.364 eV
 3936.  3936 a                    +12.991902 H =      +353.528 eV
 3935.  3935 a                    +12.986305 H =      +353.376 eV
 3934.  3934 a                    +12.977989 H =      +353.149 eV
 3933.  3933 a                    +12.946922 H =      +352.304 eV
 3932.  3932 a                    +12.851386 H =      +349.704 eV
 3931.  3931 a                    +12.834040 H =      +349.232 eV
 3930.  3930 a                    +12.829268 H =      +349.102 eV
 3929.  3929 a                    +12.788743 H =      +348.000 eV
 3928.  3928 a                    +12.766164 H =      +347.385 eV
 3927.  3927 a                    +12.759741 H =      +347.210 eV
 3926.  3926 a                    +12.725434 H =      +346.277 eV
 3925.  3925 a                    +12.713367 H =      +345.949 eV
 3924.  3924 a                    +12.700517 H =      +345.599 eV
 3923.  3923 a                    +12.688369 H =      +345.268 eV
 3922.  3922 a                    +12.668395 H =      +344.725 eV
 3921.  3921 a                    +12.663765 H =      +344.599 eV
 3920.  3920 a                    +12.636053 H =      +343.845 eV
 3919.  3919 a                    +12.611083 H =      +343.165 eV
 3918.  3918 a                    +12.603454 H =      +342.958 eV
 3917.  3917 a                    +12.594448 H =      +342.713 eV
 3916.  3916 a                    +12.499298 H =      +340.123 eV
 3915.  3915 a                    +12.482966 H =      +339.679 eV
 3914.  3914 a                    +12.467085 H =      +339.247 eV
 3913.  3913 a                    +12.446886 H =      +338.697 eV
 3912.  3912 a                    +12.418810 H =      +337.933 eV
 3911.  3911 a                    +12.414433 H =      +337.814 eV
 3910.  3910 a                    +12.400901 H =      +337.446 eV
 3909.  3909 a                    +12.377473 H =      +336.808 eV
 3908.  3908 a                    +12.331009 H =      +335.544 eV
 3907.  3907 a                    +12.128794 H =      +330.041 eV
 3906.  3906 a                    +12.112798 H =      +329.606 eV
 3905.  3905 a                    +12.088347 H =      +328.941 eV
 3904.  3904 a                    +12.049334 H =      +327.879 eV
 3903.  3903 a                    +12.039539 H =      +327.613 eV
 3902.  3902 a                    +12.028749 H =      +327.319 eV
 3901.  3901 a                    +12.023224 H =      +327.169 eV
 3900.  3900 a                    +12.002247 H =      +326.598 eV
 3899.  3899 a                    +11.984176 H =      +326.106 eV
 3898.  3898 a                    +11.977345 H =      +325.920 eV
 3897.  3897 a                    +11.944385 H =      +325.023 eV
 3896.  3896 a                    +11.872774 H =      +323.075 eV
 3895.  3895 a                    +11.785436 H =      +320.698 eV
 3894.  3894 a                    +11.774319 H =      +320.396 eV
 3893.  3893 a                    +11.760552 H =      +320.021 eV
 3892.  3892 a                    +11.741422 H =      +319.501 eV
 3891.  3891 a                    +11.626601 H =      +316.376 eV
 3890.  3890 a                    +11.603849 H =      +315.757 eV
 3889.  3889 a                    +11.560103 H =      +314.567 eV
 3888.  3888 a                    +11.544191 H =      +314.134 eV
 3887.  3887 a                    +11.537640 H =      +313.955 eV
 3886.  3886 a                    +10.881326 H =      +296.096 eV
 3885.  3885 a                    +10.866542 H =      +295.694 eV
 3884.  3884 a                    +10.840786 H =      +294.993 eV
 3883.  3883 a                    +10.686693 H =      +290.800 eV
 3882.  3882 a                    +10.594372 H =      +288.288 eV
 3881.  3881 a                    +10.537182 H =      +286.731 eV
 3880.  3880 a                    +10.518128 H =      +286.213 eV
 3879.  3879 a                    +10.471672 H =      +284.949 eV
 3878.  3878 a                    +10.444773 H =      +284.217 eV
 3877.  3877 a                     +9.968521 H =      +271.257 eV
 3876.  3876 a                     +9.926530 H =      +270.115 eV
 3875.  3875 a                     +8.974073 H =      +244.197 eV
 3874.  3874 a                     +8.962248 H =      +243.875 eV
 3873.  3873 a                     +8.927593 H =      +242.932 eV
 3872.  3872 a                     +8.899091 H =      +242.157 eV
 3871.  3871 a                     +8.867036 H =      +241.284 eV
 3870.  3870 a                     +8.683284 H =      +236.284 eV
 3869.  3869 a                     +8.606869 H =      +234.205 eV
 3868.  3868 a                     +8.596114 H =      +233.912 eV
 3867.  3867 a                     +8.548644 H =      +232.621 eV
 3866.  3866 a                     +8.546770 H =      +232.570 eV
 3865.  3865 a                     +7.401283 H =      +201.399 eV
 3864.  3864 a                     +7.385522 H =      +200.970 eV
 3863.  3863 a                     +7.384738 H =      +200.949 eV
 3862.  3862 a                     +7.381750 H =      +200.868 eV
 3861.  3861 a                     +7.380070 H =      +200.822 eV
 3860.  3860 a                     +7.352485 H =      +200.071 eV
 3859.  3859 a                     +7.317489 H =      +199.119 eV
 3858.  3858 a                     +7.312905 H =      +198.994 eV
 3857.  3857 a                     +7.304092 H =      +198.755 eV
 3856.  3856 a                     +7.303560 H =      +198.740 eV
 3855.  3855 a                     +7.287341 H =      +198.299 eV
 3854.  3854 a                     +7.185358 H =      +195.524 eV
 3853.  3853 a                     +7.183756 H =      +195.480 eV
 3852.  3852 a                     +7.181471 H =      +195.418 eV
 3851.  3851 a                     +7.179663 H =      +195.369 eV
 3850.  3850 a                     +7.134924 H =      +194.151 eV
 3849.  3849 a                     +7.061937 H =      +192.165 eV
 3848.  3848 a                     +7.061336 H =      +192.149 eV
 3847.  3847 a                     +7.057162 H =      +192.035 eV
 3846.  3846 a                     +7.055501 H =      +191.990 eV
 3845.  3845 a                     +6.976051 H =      +189.828 eV
 3844.  3844 a                     +6.967771 H =      +189.603 eV
 3843.  3843 a                     +6.966731 H =      +189.575 eV
 3842.  3842 a                     +6.966084 H =      +189.557 eV
 3841.  3841 a                     +6.964243 H =      +189.507 eV
 3840.  3840 a                     +6.927887 H =      +188.518 eV
 3839.  3839 a                     +6.913342 H =      +188.122 eV
 3838.  3838 a                     +6.912758 H =      +188.106 eV
 3837.  3837 a                     +6.909103 H =      +188.006 eV
 3836.  3836 a                     +6.906012 H =      +187.922 eV
 3835.  3835 a                     +6.898059 H =      +187.706 eV
 3834.  3834 a                     +6.858205 H =      +186.621 eV
 3833.  3833 a                     +6.852938 H =      +186.478 eV
 3832.  3832 a                     +6.845098 H =      +186.265 eV
 3831.  3831 a                     +6.836925 H =      +186.042 eV
 3830.  3830 a                     +6.832485 H =      +185.921 eV
 3829.  3829 a                     +6.830377 H =      +185.864 eV
 3828.  3828 a                     +6.819351 H =      +185.564 eV
 3827.  3827 a                     +6.805859 H =      +185.197 eV
 3826.  3826 a                     +6.799234 H =      +185.017 eV
 3825.  3825 a                     +6.797486 H =      +184.969 eV
 3824.  3824 a                     +6.795660 H =      +184.919 eV
 3823.  3823 a                     +6.793945 H =      +184.873 eV
 3822.  3822 a                     +6.790001 H =      +184.765 eV
 3821.  3821 a                     +6.788139 H =      +184.715 eV
 3820.  3820 a                     +6.780256 H =      +184.500 eV
 3819.  3819 a                     +6.776281 H =      +184.392 eV
 3818.  3818 a                     +6.763904 H =      +184.055 eV
 3817.  3817 a                     +6.741119 H =      +183.435 eV
 3816.  3816 a                     +6.735318 H =      +183.277 eV
 3815.  3815 a                     +6.732341 H =      +183.196 eV
 3814.  3814 a                     +6.731132 H =      +183.164 eV
 3813.  3813 a                     +6.729847 H =      +183.129 eV
 3812.  3812 a                     +6.681592 H =      +181.815 eV
 3811.  3811 a                     +6.634115 H =      +180.524 eV
 3810.  3810 a                     +6.631671 H =      +180.457 eV
 3809.  3809 a                     +6.628768 H =      +180.378 eV
 3808.  3808 a                     +6.628283 H =      +180.365 eV
 3807.  3807 a                     +6.627764 H =      +180.351 eV
 3806.  3806 a                     +6.412775 H =      +174.501 eV
 3805.  3805 a                     +6.398190 H =      +174.104 eV
 3804.  3804 a                     +6.388080 H =      +173.829 eV
 3803.  3803 a                     +6.385662 H =      +173.763 eV
 3802.  3802 a                     +6.371950 H =      +173.390 eV
 3801.  3801 a                     +6.370437 H =      +173.349 eV
 3800.  3800 a                     +6.368677 H =      +173.301 eV
 3799.  3799 a                     +6.366523 H =      +173.242 eV
 3798.  3798 a                     +6.366005 H =      +173.228 eV
 3797.  3797 a                     +6.245808 H =      +169.957 eV
 3796.  3796 a                     +6.156560 H =      +167.529 eV
 3795.  3795 a                     +6.146786 H =      +167.263 eV
 3794.  3794 a                     +6.145296 H =      +167.222 eV
 3793.  3793 a                     +6.138019 H =      +167.024 eV
 3792.  3792 a                     +6.135721 H =      +166.962 eV
 3791.  3791 a                     +6.119405 H =      +166.518 eV
 3790.  3790 a                     +6.083606 H =      +165.543 eV
 3789.  3789 a                     +6.072741 H =      +165.248 eV
 3788.  3788 a                     +6.070089 H =      +165.176 eV
 3787.  3787 a                     +6.065799 H =      +165.059 eV
 3786.  3786 a                     +6.063205 H =      +164.988 eV
 3785.  3785 a                     +6.062722 H =      +164.975 eV
 3784.  3784 a                     +6.052651 H =      +164.701 eV
 3783.  3783 a                     +6.045199 H =      +164.498 eV
 3782.  3782 a                     +6.036865 H =      +164.272 eV
 3781.  3781 a                     +6.034705 H =      +164.213 eV
 3780.  3780 a                     +6.032343 H =      +164.148 eV
 3779.  3779 a                     +6.004552 H =      +163.392 eV
 3778.  3778 a                     +6.000700 H =      +163.287 eV
 3777.  3777 a                     +5.998935 H =      +163.239 eV
 3776.  3776 a                     +5.996430 H =      +163.171 eV
 3775.  3775 a                     +5.995635 H =      +163.150 eV
 3774.  3774 a                     +5.982189 H =      +162.784 eV
 3773.  3773 a                     +5.970576 H =      +162.468 eV
 3772.  3772 a                     +5.969251 H =      +162.432 eV
 3771.  3771 a                     +5.965975 H =      +162.343 eV
 3770.  3770 a                     +5.962524 H =      +162.249 eV
 3769.  3769 a                     +5.961214 H =      +162.213 eV
 3768.  3768 a                     +5.959173 H =      +162.157 eV
 3767.  3767 a                     +5.955027 H =      +162.045 eV
 3766.  3766 a                     +5.948157 H =      +161.858 eV
 3765.  3765 a                     +5.945294 H =      +161.780 eV
 3764.  3764 a                     +5.942715 H =      +161.710 eV
 3763.  3763 a                     +5.866534 H =      +159.637 eV
 3762.  3762 a                     +5.862331 H =      +159.522 eV
 3761.  3761 a                     +5.861595 H =      +159.502 eV
 3760.  3760 a                     +5.860414 H =      +159.470 eV
 3759.  3759 a                     +5.859334 H =      +159.441 eV
 3758.  3758 a                     +5.800825 H =      +157.849 eV
 3757.  3757 a                     +5.795979 H =      +157.717 eV
 3756.  3756 a                     +5.794042 H =      +157.664 eV
 3755.  3755 a                     +5.793055 H =      +157.637 eV
 3754.  3754 a                     +5.789195 H =      +157.532 eV
 3753.  3753 a                     +5.784624 H =      +157.408 eV
 3752.  3752 a                     +5.781416 H =      +157.320 eV
 3751.  3751 a                     +5.776601 H =      +157.189 eV
 3750.  3750 a                     +5.764206 H =      +156.852 eV
 3749.  3749 a                     +5.760992 H =      +156.765 eV
 3748.  3748 a                     +5.755421 H =      +156.613 eV
 3747.  3747 a                     +5.754213 H =      +156.580 eV
 3746.  3746 a                     +5.735505 H =      +156.071 eV
 3745.  3745 a                     +5.721811 H =      +155.698 eV
 3744.  3744 a                     +5.719184 H =      +155.627 eV
 3743.  3743 a                     +5.716904 H =      +155.565 eV
 3742.  3742 a                     +5.711771 H =      +155.425 eV
 3741.  3741 a                     +5.709046 H =      +155.351 eV
 3740.  3740 a                     +5.702450 H =      +155.172 eV
 3739.  3739 a                     +5.686071 H =      +154.726 eV
 3738.  3738 a                     +5.681798 H =      +154.610 eV
 3737.  3737 a                     +5.674740 H =      +154.418 eV
 3736.  3736 a                     +5.670606 H =      +154.305 eV
 3735.  3735 a                     +5.654297 H =      +153.861 eV
 3734.  3734 a                     +5.653790 H =      +153.848 eV
 3733.  3733 a                     +5.608822 H =      +152.624 eV
 3732.  3732 a                     +5.592124 H =      +152.170 eV
 3731.  3731 a                     +5.587380 H =      +152.040 eV
 3730.  3730 a                     +5.586374 H =      +152.013 eV
 3729.  3729 a                     +5.580115 H =      +151.843 eV
 3728.  3728 a                     +5.577378 H =      +151.768 eV
 3727.  3727 a                     +5.575731 H =      +151.723 eV
 3726.  3726 a                     +5.548029 H =      +150.970 eV
 3725.  3725 a                     +5.547529 H =      +150.956 eV
 3724.  3724 a                     +5.531072 H =      +150.508 eV
 3723.  3723 a                     +5.516019 H =      +150.099 eV
 3722.  3722 a                     +5.510739 H =      +149.955 eV
 3721.  3721 a                     +5.507683 H =      +149.872 eV
 3720.  3720 a                     +5.503413 H =      +149.756 eV
 3719.  3719 a                     +5.502493 H =      +149.731 eV
 3718.  3718 a                     +5.500509 H =      +149.677 eV
 3717.  3717 a                     +5.499729 H =      +149.655 eV
 3716.  3716 a                     +5.499333 H =      +149.645 eV
 3715.  3715 a                     +5.493257 H =      +149.479 eV
 3714.  3714 a                     +5.480221 H =      +149.124 eV
 3713.  3713 a                     +5.478807 H =      +149.086 eV
 3712.  3712 a                     +5.475307 H =      +148.991 eV
 3711.  3711 a                     +5.473164 H =      +148.932 eV
 3710.  3710 a                     +5.472578 H =      +148.917 eV
 3709.  3709 a                     +5.470833 H =      +148.869 eV
 3708.  3708 a                     +5.467180 H =      +148.770 eV
 3707.  3707 a                     +5.465899 H =      +148.735 eV
 3706.  3706 a                     +5.463729 H =      +148.676 eV
 3705.  3705 a                     +5.462854 H =      +148.652 eV
 3704.  3704 a                     +5.457667 H =      +148.511 eV
 3703.  3703 a                     +5.450164 H =      +148.307 eV
 3702.  3702 a                     +5.448717 H =      +148.267 eV
 3701.  3701 a                     +5.445526 H =      +148.180 eV
 3700.  3700 a                     +5.418418 H =      +147.443 eV
 3699.  3699 a                     +5.415343 H =      +147.359 eV
 3698.  3698 a                     +5.404972 H =      +147.077 eV
 3697.  3697 a                     +5.394531 H =      +146.793 eV
 3696.  3696 a                     +5.394000 H =      +146.778 eV
 3695.  3695 a                     +5.393447 H =      +146.763 eV
 3694.  3694 a                     +5.390819 H =      +146.692 eV
 3693.  3693 a                     +5.376692 H =      +146.307 eV
 3692.  3692 a                     +5.375534 H =      +146.276 eV
 3691.  3691 a                     +5.373880 H =      +146.231 eV
 3690.  3690 a                     +5.372189 H =      +146.185 eV
 3689.  3689 a                     +5.371389 H =      +146.163 eV
 3688.  3688 a                     +5.360579 H =      +145.869 eV
 3687.  3687 a                     +5.359852 H =      +145.849 eV
 3686.  3686 a                     +5.358450 H =      +145.811 eV
 3685.  3685 a                     +5.355940 H =      +145.743 eV
 3684.  3684 a                     +5.352504 H =      +145.649 eV
 3683.  3683 a                     +5.350344 H =      +145.590 eV
 3682.  3682 a                     +5.338958 H =      +145.281 eV
 3681.  3681 a                     +5.335512 H =      +145.187 eV
 3680.  3680 a                     +5.333624 H =      +145.135 eV
 3679.  3679 a                     +5.331098 H =      +145.067 eV
 3678.  3678 a                     +5.329713 H =      +145.029 eV
 3677.  3677 a                     +5.326573 H =      +144.944 eV
 3676.  3676 a                     +5.321121 H =      +144.795 eV
 3675.  3675 a                     +5.299654 H =      +144.211 eV
 3674.  3674 a                     +5.298188 H =      +144.171 eV
 3673.  3673 a                     +5.296486 H =      +144.125 eV
 3672.  3672 a                     +5.283384 H =      +143.768 eV
 3671.  3671 a                     +5.274423 H =      +143.524 eV
 3670.  3670 a                     +5.273356 H =      +143.495 eV
 3669.  3669 a                     +5.270813 H =      +143.426 eV
 3668.  3668 a                     +5.268108 H =      +143.353 eV
 3667.  3667 a                     +5.250977 H =      +142.886 eV
 3666.  3666 a                     +5.236823 H =      +142.501 eV
 3665.  3665 a                     +5.228790 H =      +142.283 eV
 3664.  3664 a                     +5.219767 H =      +142.037 eV
 3663.  3663 a                     +5.218253 H =      +141.996 eV
 3662.  3662 a                     +5.210261 H =      +141.779 eV
 3661.  3661 a                     +5.208170 H =      +141.722 eV
 3660.  3660 a                     +5.199519 H =      +141.486 eV
 3659.  3659 a                     +5.183564 H =      +141.052 eV
 3658.  3658 a                     +5.179837 H =      +140.951 eV
 3657.  3657 a                     +5.177507 H =      +140.887 eV
 3656.  3656 a                     +5.176908 H =      +140.871 eV
 3655.  3655 a                     +5.170788 H =      +140.704 eV
 3654.  3654 a                     +5.170042 H =      +140.684 eV
 3653.  3653 a                     +5.168375 H =      +140.639 eV
 3652.  3652 a                     +5.167376 H =      +140.612 eV
 3651.  3651 a                     +5.166873 H =      +140.598 eV
 3650.  3650 a                     +5.163564 H =      +140.508 eV
 3649.  3649 a                     +5.156016 H =      +140.302 eV
 3648.  3648 a                     +5.154220 H =      +140.254 eV
 3647.  3647 a                     +5.148028 H =      +140.085 eV
 3646.  3646 a                     +5.144063 H =      +139.977 eV
 3645.  3645 a                     +5.142788 H =      +139.942 eV
 3644.  3644 a                     +5.138616 H =      +139.829 eV
 3643.  3643 a                     +5.119960 H =      +139.321 eV
 3642.  3642 a                     +5.118518 H =      +139.282 eV
 3641.  3641 a                     +5.110045 H =      +139.051 eV
 3640.  3640 a                     +5.108318 H =      +139.004 eV
 3639.  3639 a                     +5.105864 H =      +138.938 eV
 3638.  3638 a                     +5.066192 H =      +137.858 eV
 3637.  3637 a                     +5.063122 H =      +137.775 eV
 3636.  3636 a                     +5.061111 H =      +137.720 eV
 3635.  3635 a                     +5.060302 H =      +137.698 eV
 3634.  3634 a                     +5.059617 H =      +137.679 eV
 3633.  3633 a                     +5.058278 H =      +137.643 eV
 3632.  3632 a                     +5.056445 H =      +137.593 eV
 3631.  3631 a                     +5.055943 H =      +137.579 eV
 3630.  3630 a                     +5.053534 H =      +137.514 eV
 3629.  3629 a                     +5.051771 H =      +137.466 eV
 3628.  3628 a                     +5.050198 H =      +137.423 eV
 3627.  3627 a                     +5.048793 H =      +137.385 eV
 3626.  3626 a                     +5.047780 H =      +137.357 eV
 3625.  3625 a                     +5.046000 H =      +137.309 eV
 3624.  3624 a                     +5.043932 H =      +137.252 eV
 3623.  3623 a                     +5.042460 H =      +137.212 eV
 3622.  3622 a                     +5.040803 H =      +137.167 eV
 3621.  3621 a                     +5.039428 H =      +137.130 eV
 3620.  3620 a                     +5.036579 H =      +137.052 eV
 3619.  3619 a                     +5.034707 H =      +137.001 eV
 3618.  3618 a                     +5.033099 H =      +136.958 eV
 3617.  3617 a                     +5.031087 H =      +136.903 eV
 3616.  3616 a                     +5.029328 H =      +136.855 eV
 3615.  3615 a                     +5.029180 H =      +136.851 eV
 3614.  3614 a                     +5.027996 H =      +136.819 eV
 3613.  3613 a                     +5.025724 H =      +136.757 eV
 3612.  3612 a                     +5.023431 H =      +136.695 eV
 3611.  3611 a                     +5.022471 H =      +136.668 eV
 3610.  3610 a                     +5.020424 H =      +136.613 eV
 3609.  3609 a                     +5.018509 H =      +136.561 eV
 3608.  3608 a                     +5.017643 H =      +136.537 eV
 3607.  3607 a                     +5.014557 H =      +136.453 eV
 3606.  3606 a                     +5.012640 H =      +136.401 eV
 3605.  3605 a                     +5.010882 H =      +136.353 eV
 3604.  3604 a                     +5.009952 H =      +136.328 eV
 3603.  3603 a                     +5.007532 H =      +136.262 eV
 3602.  3602 a                     +5.002875 H =      +136.135 eV
 3601.  3601 a                     +4.998990 H =      +136.030 eV
 3600.  3600 a                     +4.995894 H =      +135.945 eV
 3599.  3599 a                     +4.992918 H =      +135.864 eV
 3598.  3598 a                     +4.991406 H =      +135.823 eV
 3597.  3597 a                     +4.988877 H =      +135.754 eV
 3596.  3596 a                     +4.987456 H =      +135.716 eV
 3595.  3595 a                     +4.984247 H =      +135.628 eV
 3594.  3594 a                     +4.980577 H =      +135.528 eV
 3593.  3593 a                     +4.976243 H =      +135.411 eV
 3592.  3592 a                     +4.973110 H =      +135.325 eV
 3591.  3591 a                     +4.971777 H =      +135.289 eV
 3590.  3590 a                     +4.970871 H =      +135.264 eV
 3589.  3589 a                     +4.970073 H =      +135.243 eV
 3588.  3588 a                     +4.968181 H =      +135.191 eV
 3587.  3587 a                     +4.958831 H =      +134.937 eV
 3586.  3586 a                     +4.953723 H =      +134.798 eV
 3585.  3585 a                     +4.951708 H =      +134.743 eV
 3584.  3584 a                     +4.944802 H =      +134.555 eV
 3583.  3583 a                     +4.943142 H =      +134.510 eV
 3582.  3582 a                     +4.942647 H =      +134.496 eV
 3581.  3581 a                     +4.937264 H =      +134.350 eV
 3580.  3580 a                     +4.927761 H =      +134.091 eV
 3579.  3579 a                     +4.909233 H =      +133.587 eV
 3578.  3578 a                     +4.907820 H =      +133.549 eV
 3577.  3577 a                     +4.901407 H =      +133.374 eV
 3576.  3576 a                     +4.897271 H =      +133.262 eV
 3575.  3575 a                     +4.891717 H =      +133.110 eV
 3574.  3574 a                     +4.883220 H =      +132.879 eV
 3573.  3573 a                     +4.882354 H =      +132.856 eV
 3572.  3572 a                     +4.878011 H =      +132.738 eV
 3571.  3571 a                     +4.877353 H =      +132.720 eV
 3570.  3570 a                     +4.873182 H =      +132.606 eV
 3569.  3569 a                     +4.871928 H =      +132.572 eV
 3568.  3568 a                     +4.869643 H =      +132.510 eV
 3567.  3567 a                     +4.864821 H =      +132.379 eV
 3566.  3566 a                     +4.863547 H =      +132.344 eV
 3565.  3565 a                     +4.858208 H =      +132.199 eV
 3564.  3564 a                     +4.854675 H =      +132.103 eV
 3563.  3563 a                     +4.850226 H =      +131.981 eV
 3562.  3562 a                     +4.848890 H =      +131.945 eV
 3561.  3561 a                     +4.848007 H =      +131.921 eV
 3560.  3560 a                     +4.846823 H =      +131.889 eV
 3559.  3559 a                     +4.842165 H =      +131.762 eV
 3558.  3558 a                     +4.840518 H =      +131.717 eV
 3557.  3557 a                     +4.839600 H =      +131.692 eV
 3556.  3556 a                     +4.837116 H =      +131.625 eV
 3555.  3555 a                     +4.834849 H =      +131.563 eV
 3554.  3554 a                     +4.833466 H =      +131.525 eV
 3553.  3553 a                     +4.829741 H =      +131.424 eV
 3552.  3552 a                     +4.826998 H =      +131.349 eV
 3551.  3551 a                     +4.816047 H =      +131.051 eV
 3550.  3550 a                     +4.812698 H =      +130.960 eV
 3549.  3549 a                     +4.810782 H =      +130.908 eV
 3548.  3548 a                     +4.806828 H =      +130.801 eV
 3547.  3547 a                     +4.805353 H =      +130.760 eV
 3546.  3546 a                     +4.804688 H =      +130.742 eV
 3545.  3545 a                     +4.802453 H =      +130.681 eV
 3544.  3544 a                     +4.802116 H =      +130.672 eV
 3543.  3543 a                     +4.796918 H =      +130.531 eV
 3542.  3542 a                     +4.793756 H =      +130.445 eV
 3541.  3541 a                     +4.791895 H =      +130.394 eV
 3540.  3540 a                     +4.791391 H =      +130.380 eV
 3539.  3539 a                     +4.788764 H =      +130.309 eV
 3538.  3538 a                     +4.787376 H =      +130.271 eV
 3537.  3537 a                     +4.786059 H =      +130.235 eV
 3536.  3536 a                     +4.782288 H =      +130.133 eV
 3535.  3535 a                     +4.781962 H =      +130.124 eV
 3534.  3534 a                     +4.780356 H =      +130.080 eV
 3533.  3533 a                     +4.776594 H =      +129.978 eV
 3532.  3532 a                     +4.770378 H =      +129.809 eV
 3531.  3531 a                     +4.764990 H =      +129.662 eV
 3530.  3530 a                     +4.759289 H =      +129.507 eV
 3529.  3529 a                     +4.756599 H =      +129.434 eV
 3528.  3528 a                     +4.754438 H =      +129.375 eV
 3527.  3527 a                     +4.751294 H =      +129.289 eV
 3526.  3526 a                     +4.751058 H =      +129.283 eV
 3525.  3525 a                     +4.749686 H =      +129.246 eV
 3524.  3524 a                     +4.748506 H =      +129.213 eV
 3523.  3523 a                     +4.746963 H =      +129.171 eV
 3522.  3522 a                     +4.746586 H =      +129.161 eV
 3521.  3521 a                     +4.744544 H =      +129.106 eV
 3520.  3520 a                     +4.744043 H =      +129.092 eV
 3519.  3519 a                     +4.743424 H =      +129.075 eV
 3518.  3518 a                     +4.741600 H =      +129.026 eV
 3517.  3517 a                     +4.740030 H =      +128.983 eV
 3516.  3516 a                     +4.738674 H =      +128.946 eV
 3515.  3515 a                     +4.735759 H =      +128.867 eV
 3514.  3514 a                     +4.735170 H =      +128.851 eV
 3513.  3513 a                     +4.733580 H =      +128.807 eV
 3512.  3512 a                     +4.732501 H =      +128.778 eV
 3511.  3511 a                     +4.731250 H =      +128.744 eV
 3510.  3510 a                     +4.726594 H =      +128.617 eV
 3509.  3509 a                     +4.724443 H =      +128.559 eV
 3508.  3508 a                     +4.713488 H =      +128.261 eV
 3507.  3507 a                     +4.712056 H =      +128.222 eV
 3506.  3506 a                     +4.709271 H =      +128.146 eV
 3505.  3505 a                     +4.708545 H =      +128.126 eV
