
 eiger (gplogin1.local) : TURBOMOLE V7.2 ( 21285 ) 30 Jun 2017 at 11:51:10
 Copyright (C) 2017 TURBOMOLE GmbH, Karlsruhe


    2018-01-22 10:38:37.641 

                                                                                
  
 HOMO-LUMO Separation
   HOMO:   415.   415 a     -0.19251350 H =     -5.23856 eV
   LUMO:   416.   416 a     -0.12911887 H =     -3.51351 eV
   Gap :                    +0.06339462 H =     +1.72506 eV
 
Number of MOs=   4716, Electrons=    830.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 4716.  4716 a                    +15.722443 H =      +427.830 eV
 4715.  4715 a                    +15.574433 H =      +423.802 eV
 4714.  4714 a                    +15.568398 H =      +423.638 eV
 4713.  4713 a                    +15.545895 H =      +423.026 eV
 4712.  4712 a                    +15.413692 H =      +419.428 eV
 4711.  4711 a                    +15.368612 H =      +418.201 eV
 4710.  4710 a                    +15.315836 H =      +416.765 eV
 4709.  4709 a                    +14.983140 H =      +407.712 eV
 4708.  4708 a                    +14.953987 H =      +406.919 eV
 4707.  4707 a                    +14.804284 H =      +402.845 eV
 4706.  4706 a                    +14.793921 H =      +402.563 eV
 4705.  4705 a                    +14.184269 H =      +385.974 eV
 4704.  4704 a                    +14.073880 H =      +382.970 eV
 4703.  4703 a                    +13.923652 H =      +378.882 eV
 4702.  4702 a                    +13.847845 H =      +376.819 eV
 4701.  4701 a                    +13.792776 H =      +375.321 eV
 4700.  4700 a                    +13.727131 H =      +373.534 eV
 4699.  4699 a                    +13.667717 H =      +371.918 eV
 4698.  4698 a                    +13.645390 H =      +371.310 eV
 4697.  4697 a                    +13.622943 H =      +370.699 eV
 4696.  4696 a                    +13.619314 H =      +370.601 eV
 4695.  4695 a                    +13.577834 H =      +369.472 eV
 4694.  4694 a                    +13.567594 H =      +369.193 eV
 4693.  4693 a                    +13.562572 H =      +369.057 eV
 4692.  4692 a                    +13.552032 H =      +368.770 eV
 4691.  4691 a                    +13.538272 H =      +368.395 eV
 4690.  4690 a                    +13.528772 H =      +368.137 eV
 4689.  4689 a                    +13.524928 H =      +368.032 eV
 4688.  4688 a                    +13.499241 H =      +367.333 eV
 4687.  4687 a                    +13.489950 H =      +367.080 eV
