Na_Nb,RPA (PBE),MP2/CBS,SCS-MP2/CBS
14256,1.266690902,19.85238789,0.1741386029
9108,2.717185519,11.88605088,1.840063991
33288,5.889191428,17.40996861,1.77511818
19272,1.568115776,12.02308381,1.362434605
24396,0.9489026207,27.30807788,11.1059439
15408,5.448309606,20.8712065,4.939361391
51840,1.135380777,33.57181142,10.22630456
69984,1.806283348,40.68250991,14.66488717
64320,4.445583219,56.87496616,21.34883327
75040,3.553803574,56.96180113,2.91119171
67200,4.743377652,66.52814734,33.51402234
78400,4.299157357,66.5597112,33.44520664
19944,5.894102309,5.344358855,4.590039557
19944,4.83743539,10.09763748,2.008635354
14112,6.471296592,6.675551801,0.9729591383
18648,7.45330049,8.55095557,0.0479245011
15312,0.2427334947,9.326231482,2.002586875
13920,2.800442631,8.364269282,1.95208013
16128,2.466131606,0.4930805605,4.603493506
24192,1.597355766,2.77216723,4.641018858
26908,6.173359921,10.36159242,1.75866293
29792,6.974878253,3.289591044,9.802844848
18144,1.735727168,6.658729161,3.20500235
53816,2.233889651,11.99871953,10.96831431
25536,1.892189011,27.24165609,8.568210337
25536,1.893308064,26.51218099,10.92872653
11904,0.0929404179,5.268938509,1.076976169
9672,1.37819853,3.196997885,1.388007709
7104,0.7566350954,13.63538636,17.68879364
13616,0.4968025027,16.23759464,17.69785425
11664,6.37144559,14.62,3.17
11700,0.182833598,13.02,5.09
22932,0.4120706807,21.23,7.28
12100,2.217639285,0.86,3.19
9604,1.9284793,3.84,2.67
6272,0.6473557369,1.96,0.61
12800,2.105685619,0.6,2.99
64,0.0160887287,0.037,0.41
112,0.0027724025,0.102,0.497
112,0.0150718042,0.176,0.517
240,0.0973932288,0.032,0.843
196,0.0894990177,0.081,0.607
196,0.0245732344,0.173,0.775
420,0.0541304039,0.049,1.035
112,0.0410170909,0.022,0.493
196,0.1742474518,0,0.554
196,0.1453756,0.13,0.688
420,0.206926755,0.111,0.965
112,0.0775731791,0.254,0.562
420,0.3239695778,0.137,0.728
420,0.3439178517,0.228,0.84
900,0.4242154735,0.044,1.12
240,0.2731956551,0.024,0.514
1764,0.5910952336,0.014,1.901
240,0.147979858,0.212,0.473
420,0.1822356057,0.265,0.628
576,0.4722034565,0.093,1.784
576,0.6236313758,0.143,1.559
1008,0.4207805503,0.09,1.866
1008,0.4860836269,0.088,1.797
900,0.7908544531,1.881,0.083
900,0.7315962696,2.111,0.155
1764,1.440758642,1.31,1.578
900,0.7674207723,1.993,0.101
1260,1.035564006,1.822,0.6
1260,0.9804353633,1.807,0.614
360,0.3270051882,0.893,0.153
504,0.4095112348,0.631,0.611
420,0.2926347732,0.671,0.483
360,0.3075580656,0.954,0.162
1024,0.3607143647,0.192,1.429
1024,0.3413588593,0.062,1.043
1024,0.3266602888,0.04,0.783
960,0.3274585899,0.081,0.98
900,0.3504843319,0.14,1.135
900,0.588046832,1.005,0.619
960,0.5296623754,0.704,0.548
1344,0.98322607,0.593,1.415
1260,0.8999573395,0.56,1.198
1344,0.7920679572,0.338,1.058
384,0.2504092497,0.146,0.725
320,0.2055420388,0.356,0.408
960,0.6052768448,0.249,1.409
900,0.5069630247,0.869,0.299
900,0.5023832531,0.855,0.356
900,0.4650337815,0.844,0.332
300,0.3028634623,0.596,0.219
100,0.1635521791,0.137,0.184
720,0.5851479013,0.543,0.561
720,0.4725282636,0.361,0.609
240,0.5302838099,0.29,0.397
420,0.4271123991,0.574,0.554
180,0.4170959892,0.612,0.491
900,0.6352378315,0.917,0.608
900,0.4280487034,0.221,0.57
80,0.1243721953,0.023,0.297
240,0.0698230132,0.161,0.604
768,0.5210909507,0.117,1.047
768,0.5830853724,0.123,1.215
720,0.460168236,0.755,0.59
360,0.3350382192,0.169,0.742
300,0.2264255296,0.216,0.316
420,0.2797984618,0.584,0.548
