Number of unfrozen electrons,RPA (PBE),MP2/CBS,SCS-MP2/CBS,PBE-D3
270,4.3678996552,68.4565099655,0.600477931,3.6551724138
244,13.0633919231,57.1444753846,8.8464614904,12.6923076923
406,25.0603890638,74.0849728085,7.553694383,23.3191489362
358,7.7247082759,59.2270138424,6.7115005419,8.6699507389
328,3.272078,94.1657857931,38.2963582759,1.4827586207
286,21.3659200392,81.8478686275,19.3700446667,12.6666666667
468,3.2347030769,95.6461863818,29.1347708262,15.5555555556
540,4.9083786685,110.5502986685,39.850236875,6.9836956522
508,15.6534620423,200.2639653521,75.1719481338,3.9436619718
548,11.9255153356,191.1469836577,9.769099698,6.9798657718
520,14.3738716667,201.6004464848,101.5576434545,0.5151515152
560,12.681880118,196.3413309735,98.6584266667,5.3392330383
590,19.1366958117,17.3518144481,14.9027258442,25.8441558442
590,15.4550651438,32.2608226198,6.4173653355,23.7699680511
308,37.1913597126,38.3652402299,5.5917191954,21.1494252874
326,29.6944242629,34.0675520717,0.1909342629,1.5537848606
392,0.726746976,27.9228487425,5.9957690719,3.4730538922
388,12.0190670815,35.8981514163,8.378026309,8.9270386266
484,14.0921806286,2.8176032,26.3056772,12.6857142857
502,8.3195613021,14.4383709896,24.1719732292,5.3645833333
496,25.5097517355,42.8164976033,7.2672021901,3.347107438
348,16.3729536385,7.7220446948,23.0113728873,9.1784037559
276,2.8315288254,10.8625271778,5.2283888254,11.1256117455
558,1.6486270849,8.8551435424,8.0946969004,6.7011070111
388,7.2776500385,104.7756003462,32.9546551538,3.8846153846
388,7.3384033333,102.7603914341,42.359405155,4.8837209302
404,0.1130662044,6.4099008637,1.3101899878,2.2627737226
398,1.7205974157,3.9912582896,1.732843583,3.7453183521
320,1.414271215,25.4867034766,33.0631656822,1.4018691589
342,1.0077129817,32.9362974442,35.8982844828,0.7505070994
284,0.8445432838,3.383712318,7.4226393759,7.7117384844
574,12.6082210743,2.1756676127,19.7863304907,34.4031830239
420,2.6116689691,95.8737020619,35.2674008247,0.6872852234
420,1.2329777891,93.3053683333,33.2458427891,10.2380952381
412,4.7825690909,10.5580989807,9.7300535537,12.3415977961
406,6.0430029688,9.2260136875,10.8206363438,15.90625
216,25.58718184,60.0164203612,13.013136289,24.28596138
284,17.78338096,89.6694214876,35.0550964187,15.42724029
332,18.20647484,85.639370714,29.3666801129,16.46768967
220,16.70752185,7.7757685353,28.842676311,18.37724267
196,10.995259,26.7223382046,18.5803757829,1.660500862
168,20.41414984,81.6666666667,25.4166666667,2.155374718
240,7.368212565,2.3291925466,11.6071428571,2.790780619
16,5.509653337,1.117541409,10.03791658,12.13470246
22,6.18790392,0.1227854762,10.62971409,7.187036805
22,6.481975614,0.6822057987,9.167140421,15.33972786
38,6.269990618,1.812652068,11.67883212,3.411002173
28,5.340984144,0.222184242,11.98085797,7.951830772
28,7.232282359,0.7957213671,11.57057135,13.79848375
44,5.923828668,1.871176682,13.69797289,6.93525233
22,4.992783745,1.100845292,11.22469039,11.67536143
28,5.196034313,1.734661099,19.53099904,12.00300297
28,7.758096141,1.586549846,17.78356619,9.421934625
44,6.972139507,0.9124087591,18.72262774,1.233780304
22,7.613795988,1.59416374,9.429883815,10.82852273
44,2.865813789,0.6685768863,13.10092327,0.4129982724
44,4.339136997,1.600317418,12.52479831,8.448481466
60,3.059104765,0.5389290219,13.88602225,1.329644607
38,0.765615404,0.9809578765,11.32910175,4.754978916
84,3.260572939,1.604768455,12.41976158,2.572267968
38,4.559428559,1.347670251,8.47311828,14.04012455
44,5.323094465,2.197070573,9.693741678,12.86702493
48,2.873018509,2.137522534,10.84728303,5.899078508
48,1.835816183,2.438729198,11.0075643,3.061929305
66,3.210935903,1.930950816,10.90835566,3.50954286
66,2.773495521,1.880104793,10.65906406,2.286321408
60,6.282876171,72.65051395,6.644640235,4.921647175
