Nth Order,Complex 5 S30L,Coronene Dimer,Benzene Dimer,Helium Dimer
2,-0.1251173252,-0.104493682,-0.0139811448,-8.00E-09
3,0.2876757158,0.2751583819,0.0274836492,5.90E-09
4,-0.7940043474,-0.8407817764,-0.0638624394,-4.00E-09
5,2.395952461,2.771411421,0.1644612018,2.40E-09
6,-7.485178007,-9.528029318,-0.4513063017,-1.50E-09
7,23.20337655,33.58490744,1.2872996,7.96E-10
8,-67.84189452,-120.2874361,-3.759838483,-5.04E-10
9,168.172521,435.6375035,11.14508487,4.04E-10
10,-211.8489562,-1591.047815,-33.35242457,-1.96E-10
11,-1322.480093,5850.744196,100.440107,1.21E-10
12,15872.29318,-21641.80379,-303.7754817,-7.13E-11
13,-116297.7088,80475.44044,921.5226649,4.57E-11
14,732671.4872,-300702.9688,-2801.558592,-2.56E-11
15,-4298636.272,1128706.683,8530.731943,1.79E-11
16,24234582.84,-4254860.032,-26007.32549,-8.65E-12
17,-133319153.8,16104878.78,79361.34662,7.59E-12
18,721801690.1,-61194660.83,-242349.4616,-2.36E-12
19,-3865994214,233385725.2,740515.9474,3.74E-12
20,20552508533,-893230235,-2263822.975,1.45E-19
