Compound,RPA (PBE),MP2/CBS,SCS-MP2/CBS,SOS-MP2/CBS,PBE-D3
1,1.266690902,-19.85238789,-1.794575917,6.429381028,-0.77
2,2.717185519,-11.88605088,-1.840063991,3.182929624,1.37
3,5.889191428,-17.40996861,0.8596249422,7.939624348,3.53
4,1.568115776,-12.02308381,-2.743092839,0.7482351735,1.02
5,-0.9489026207,-27.30807788,-11.1059439,-3.004876769,-1.85
6,5.448309606,-20.8712065,-4.939361391,3.026561279,1.35
7,1.135380777,-33.57181142,-10.22630456,1.44644884,3.47
8,-1.806283348,-40.68250991,-14.66488717,-1.65607573,0.34
9,-4.445583219,-56.87496616,-27.29851789,-14.8144588,-2.18
10,-3.553803574,-56.96180113,-28.37413864,-15.06142977,-1.53
11,-4.743377652,-66.52814734,-33.51402234,-17.00695982,-4.95
12,-4.299157357,-66.5597112,-33.44520664,-16.88795423,-3.26
13,5.894102309,-5.344358855,4.590039557,9.557238704,5.03
14,4.83743539,-10.09763748,2.008635354,8.061771663,4.4
15,6.471296592,-6.675551801,-0.9729591383,1.878337069,-4.01
16,7.45330049,-8.55095557,-0.0479245011,4.203590758,-0.1
17,-0.2427334947,-9.326231482,1.538557931,6.306900558,0.11
18,2.800442631,-8.364269282,1.95208013,7.11025496,1.05
19,2.466131606,-0.4930805605,4.603493506,7.15178051,0.59
20,1.597355766,-2.77216723,4.641018858,8.347611811,-1.3
21,-6.173359921,-10.36159242,0.2548257277,5.296922155,-2.61
22,6.974878253,3.289591044,9.802844848,13.05947176,3.8
23,-1.735727168,-6.658729161,1.661614101,4.635210037,-6.56
24,-2.233889651,-11.99871953,5.869495739,16.36203004,3.2
25,-1.892189011,-27.24165609,-10.79918606,-3.00864555,-3.71
26,-1.893308064,-26.51218099,-10.92872653,-3.136999142,-4
27,0.0929404179,-5.268938509,1.665766318,5.200422402,-0.47
28,1.37819853,-3.196997885,2.354990072,5.238502352,1.08
29,-0.7566350954,-13.63538636,1.696157834,4.958566811,-1.27
30,-0.4968025027,-16.23759464,7.020420701,13.13331417,-1.1
